transaction_id,constituent_id,appeal_id,campaign_id,fund_id,date,amount,payment_method,type,status
28,3251,1,1,8,2022-07-07,158.12,ACH,Gift,Completed
29,2827,1,1,8,2022-07-08,20.88,Credit Card,Gift,Completed
30,2472,1,1,8,2022-07-03,46.02,Credit Card,Gift,Completed
31,4939,1,1,8,2022-07-07,479.5,Credit Card,Gift,Completed
32,378,1,1,8,2022-07-06,64237.1,ACH,Gift,Completed
33,567,1,1,8,2022-07-07,1490.08,Check,Gift,Completed
34,3669,1,1,8,2022-07-05,192.82,Credit Card,Gift,Completed
35,104,1,1,8,2022-07-08,724.98,Check,Gift,Completed
36,1027,1,1,1,2022-07-06,2214.0,ACH,Gift,Completed
37,1908,1,1,8,2022-07-04,9872.88,Check,Gift,Completed
38,2564,1,1,8,2022-06-28,96.56,Check,Gift,Completed
39,4336,1,1,1,2022-06-28,122.9,Check,Gift,Completed
40,3352,1,1,8,2022-07-10,89.74,Credit Card,Gift,Completed
41,808,1,1,8,2022-06-28,66.58,Credit Card,Gift,Completed
42,4813,1,1,8,2022-07-05,99.74,Other,Gift,Completed
43,1890,1,1,8,2022-07-08,147.5,Credit Card,Gift,Completed
44,3884,1,1,8,2022-07-09,121.82,ACH,Gift,Completed
45,47,1,1,8,2022-07-10,87773.58,ACH,Gift,Completed
46,3437,1,1,1,2022-07-09,24331.36,Check,Gift,Completed
47,2496,1,1,8,2022-07-07,189.1,Check,Gift,Completed
48,4788,1,1,8,2022-07-01,74.88,Credit Card,Gift,Completed
49,1975,1,1,8,2022-07-02,109.36,Credit Card,Gift,Completed
50,4196,1,1,8,2022-07-07,180.12,Credit Card,Gift,Completed
51,620,1,1,8,2022-07-10,7924.08,Check,Gift,Completed
52,2572,1,1,8,2022-07-04,54.58,Credit Card,Gift,Completed
53,820,1,1,8,2022-07-08,112.62,Credit Card,Gift,Completed
54,2397,1,1,8,2022-07-08,1304.5,Credit Card,Gift,Completed
55,2634,1,1,8,2022-06-28,141.04,Check,Gift,Completed
56,4063,1,1,8,2022-07-09,365.26,Credit Card,Gift,Completed
57,4578,1,1,1,2022-07-08,216.36,Credit Card,Gift,Completed
58,2950,1,1,1,2022-07-08,165.58,Credit Card,Gift,Completed
59,3411,1,1,8,2022-07-03,67.54,Check,Gift,Completed
60,2113,1,1,8,2022-07-09,69.46,Credit Card,Gift,Completed
61,1326,1,1,8,2022-07-08,129.86,Check,Gift,Completed
62,2113,1,1,8,2022-07-08,116.5,Credit Card,Gift,Completed
63,4609,1,1,8,2022-07-06,293.1,Credit Card,Gift,Completed
64,3052,1,1,8,2022-07-08,36.48,Credit Card,Gift,Completed
65,3649,1,1,8,2022-07-01,100.28,Credit Card,Gift,Completed
66,2452,1,1,8,2022-07-01,141.46,Credit Card,Gift,Completed
67,1392,1,1,8,2022-07-05,32.2,Credit Card,Gift,Completed
68,4854,1,1,8,2022-07-06,655.5,Credit Card,Gift,Completed
69,152,1,1,8,2022-06-28,3913.68,Credit Card,Gift,Completed
70,1891,1,1,8,2022-07-05,79.46,Credit Card,Gift,Completed
71,636,1,1,8,2022-07-01,6075.88,Check,Gift,Completed
72,2567,1,1,8,2022-07-01,349.84,Credit Card,Gift,Completed
73,2126,1,1,8,2022-06-28,82.28,Check,Gift,Completed
74,1123,1,1,8,2022-07-02,198.86,ACH,Gift,Completed
75,970,1,1,1,2022-07-10,3923.26,Credit Card,Gift,Completed
76,718,1,1,8,2022-06-29,75870.14,Check,Gift,Completed
77,2677,1,1,8,2022-07-10,104.32,ACH,Gift,Completed
78,3336,1,1,8,2022-07-08,223.28,Credit Card,Gift,Completed
79,1920,1,1,8,2022-07-02,51.3,Cash,Gift,Completed
80,250,1,1,8,2022-07-09,991.48,Check,Gift,Completed
81,264,1,1,8,2022-07-07,30406.14,ACH,Gift,Completed
82,264,1,1,8,2022-07-02,71750.42,ACH,Gift,Completed
83,902,1,1,8,2022-07-04,106.64,Check,Gift,Completed
84,2236,1,1,8,2022-07-05,2707.26,Check,Gift,Completed
85,743,1,1,8,2022-07-05,1385.28,Credit Card,Gift,Completed
86,2678,1,1,8,2022-07-06,113.5,ACH,Gift,Completed
87,3399,1,1,1,2022-07-10,1008.76,ACH,Gift,Completed
88,1257,1,1,8,2022-07-06,126.48,Credit Card,Gift,Completed
89,1616,1,1,8,2022-06-28,190.74,Credit Card,Gift,Completed
90,2244,1,1,1,2022-06-27,100.74,Credit Card,Gift,Completed
91,3563,1,1,1,2022-07-08,374.74,Credit Card,Gift,Completed
92,3549,1,1,1,2022-07-02,141.62,Credit Card,Gift,Completed
93,3467,1,1,8,2022-07-03,149.2,ACH,Gift,Completed
94,1251,1,1,8,2022-07-07,3840.56,Check,Gift,Completed
95,4232,1,1,8,2022-07-06,2057.44,ACH,Gift,Completed
96,3885,1,1,8,2022-06-29,46.76,ACH,Gift,Completed
97,4775,1,1,8,2022-07-04,4329.26,ACH,Gift,Completed
98,2293,1,1,8,2022-07-04,111.36,Credit Card,Gift,Completed
99,2333,1,1,8,2022-07-06,46.52,Credit Card,Gift,Completed
100,1731,1,1,8,2022-07-01,47.54,Credit Card,Gift,Completed
101,1886,1,1,1,2022-06-27,47998.26,ACH,Gift,Completed
102,4812,1,1,8,2022-07-06,43.08,Credit Card,Gift,Completed
103,3559,1,1,8,2022-07-05,32.9,ACH,Gift,Completed
104,365,1,1,8,2022-07-04,832.0,Credit Card,Gift,Completed
105,776,1,1,1,2022-06-27,72.28,ACH,Gift,Completed
106,3630,1,1,8,2022-07-04,48.14,Cash,Gift,Completed
107,1658,1,1,8,2022-07-06,119.52,Credit Card,Gift,Completed
108,1672,1,1,1,2022-07-03,159.2,Credit Card,Gift,Completed
109,3110,1,1,8,2022-07-01,538.06,Credit Card,Gift,Completed
110,4103,1,1,8,2022-07-05,371.38,Credit Card,Gift,Completed
111,3109,1,1,8,2022-06-27,632.32,Credit Card,Gift,Completed
112,417,1,1,8,2022-07-03,189012.28,Check,Gift,Completed
113,4532,1,1,1,2022-06-28,181.54,Check,Gift,Completed
114,4727,1,1,1,2022-07-02,129.88,Credit Card,Gift,Completed
115,4963,1,1,8,2022-07-07,606.82,Check,Gift,Completed
116,3649,1,1,8,2022-07-08,121.18,Credit Card,Gift,Completed
117,3572,1,1,8,2022-07-01,153.4,Credit Card,Gift,Completed
118,3769,1,1,8,2022-07-04,159.42,Credit Card,Gift,Completed
119,1242,1,1,8,2022-07-03,214.12,ACH,Gift,Completed
120,1242,1,1,8,2022-07-09,23.533999999999995,Credit Card,Gift,Completed
121,2567,1,1,8,2022-07-01,701.6,Credit Card,Gift,Completed
122,1262,1,1,8,2022-07-01,130.38,Check,Gift,Completed
123,430,1,1,8,2022-07-01,15765.14,Check,Gift,Completed
124,1193,1,1,8,2022-07-06,366.74,Credit Card,Gift,Completed
125,863,1,1,8,2022-07-04,170.16,Cash,Gift,Completed
126,1422,1,1,8,2022-07-05,1191.64,Other,Gift,Completed
127,2354,1,1,8,2022-07-02,144.42,Credit Card,Gift,Completed
128,20,1,1,8,2022-07-04,8905.78,Check,Gift,Completed
129,3861,1,1,8,2022-07-08,317.14,Credit Card,Gift,Completed
130,1620,1,1,8,2022-07-09,555.76,Check,Gift,Completed
131,1742,1,1,8,2022-07-09,34.44,Credit Card,Gift,Completed
132,4664,1,1,8,2022-07-07,134.52,Check,Gift,Completed
133,716,1,1,1,2022-07-03,1563.58,Credit Card,Gift,Completed
134,1306,1,1,1,2022-07-07,1400.08,Credit Card,Gift,Completed
135,2318,1,1,8,2022-06-27,42.42,Credit Card,Gift,Completed
136,4098,1,1,8,2022-06-26,45007.08,Credit Card,Gift,Completed
137,4359,1,1,8,2022-07-08,77.72,Check,Gift,Completed
138,553,1,1,8,2022-07-07,804.48,Check,Gift,Completed
139,4840,1,1,8,2022-07-03,46.08,Credit Card,Gift,Completed
140,2148,1,1,8,2022-07-08,223.58,Credit Card,Gift,Completed
141,2367,1,1,1,2022-07-01,123.0,Check,Gift,Completed
142,2499,1,1,8,2022-07-09,1356.06,Check,Gift,Completed
143,4131,1,1,8,2022-07-09,117.8,Credit Card,Gift,Completed
144,3810,1,1,1,2022-07-08,134.6,Credit Card,Gift,Completed
145,1260,1,1,1,2022-07-04,292.44,Credit Card,Gift,Completed
146,344,1,1,8,2022-07-03,318.04,Check,Gift,Completed
147,2367,1,1,8,2022-07-08,157.94,Check,Gift,Completed
148,4900,1,1,1,2022-07-09,466.52,Credit Card,Gift,Completed
149,458,1,1,1,2022-07-01,118593.46,ACH,Gift,Completed
150,804,1,1,1,2022-07-08,25601.76,Check,Gift,Completed
151,1040,1,1,8,2022-06-27,220.56,ACH,Gift,Completed
152,1730,1,1,8,2022-06-28,136.26,Credit Card,Gift,Completed
153,1616,1,1,1,2022-07-08,219.88,Credit Card,Gift,Completed
154,178,1,1,8,2022-06-28,1240.46,ACH,Gift,Completed
155,4383,1,1,8,2022-07-05,121.74,ACH,Gift,Completed
156,4731,1,1,8,2022-07-09,47.28,Check,Gift,Completed
157,2270,1,1,8,2022-07-09,135.58,Other,Gift,Completed
158,2148,1,1,8,2022-07-05,18.1,Credit Card,Gift,Completed
159,4038,1,1,8,2022-07-08,30.02,Check,Gift,Completed
160,1958,1,1,8,2022-07-05,73.48,Credit Card,Gift,Completed
161,3050,1,1,8,2022-07-08,149.12,Check,Gift,Completed
162,2387,1,1,8,2022-07-07,5669.34,Credit Card,Gift,Completed
163,4938,1,1,8,2022-07-07,160.56,Credit Card,Gift,Completed
164,2711,1,1,8,2022-07-08,2115.24,Check,Gift,Completed
165,2805,1,1,8,2022-07-03,97.74,Credit Card,Gift,Completed
166,3927,1,1,8,2022-07-07,23.88,Credit Card,Gift,Completed
167,2777,1,1,8,2022-07-08,1117.94,Check,Gift,Completed
168,4040,1,1,8,2022-07-02,185.62,Credit Card,Gift,Completed
169,2123,1,1,8,2022-07-05,65.02,Other,Gift,Completed
170,2244,1,1,8,2022-07-01,9.3,Credit Card,Gift,Completed
171,4631,1,1,8,2022-07-07,128.2,Check,Gift,Completed
172,631,1,1,8,2022-07-09,2056.32,Credit Card,Gift,Completed
173,3990,1,1,8,2022-07-07,141.02,Check,Gift,Completed
174,2367,1,1,8,2022-07-03,67.56,ACH,Gift,Completed
175,3155,1,1,8,2022-07-08,211.22,Credit Card,Gift,Completed
176,1144,1,1,8,2022-07-10,120.28,Credit Card,Gift,Completed
177,1201,1,1,8,2022-07-10,142.3,Credit Card,Gift,Completed
178,3842,1,1,8,2022-07-05,796.06,Credit Card,Gift,Completed
179,2711,1,1,8,2022-07-09,856.86,Check,Gift,Completed
180,1522,1,1,8,2022-07-02,153.68,ACH,Gift,Completed
181,3812,1,1,1,2022-07-05,176.3,Credit Card,Gift,Completed
182,1643,1,1,8,2022-07-02,469.4,Credit Card,Gift,Completed
183,2321,1,1,8,2022-07-06,19.08,Credit Card,Gift,Completed
184,3339,1,1,8,2022-07-09,64.04,Credit Card,Gift,Completed
185,4616,1,1,1,2022-07-03,444.02,ACH,Gift,Completed
186,2645,1,1,8,2022-07-04,337.46,Credit Card,Gift,Completed
187,611,1,1,8,2022-07-04,2084.5,Credit Card,Gift,Completed
188,1919,1,1,8,2022-07-07,151.54,Credit Card,Gift,Completed
189,2662,1,1,1,2022-07-08,236.12,Credit Card,Gift,Completed
190,4052,1,1,8,2022-07-06,355.4,Credit Card,Gift,Completed
191,4627,1,1,8,2022-07-04,208.04,Credit Card,Gift,Completed
192,1169,1,1,8,2022-07-11,88.42,Credit Card,Gift,Completed
193,58,1,1,8,2022-07-10,685.26,Credit Card,Gift,Completed
194,824,1,1,8,2022-07-08,1117.24,Check,Gift,Completed
195,2580,1,1,8,2022-07-07,129.58,Credit Card,Gift,Completed
196,947,1,1,8,2022-07-07,86.8,Credit Card,Gift,Completed
197,4739,1,1,1,2022-06-26,10.62,Credit Card,Gift,Completed
198,2418,1,1,1,2022-07-03,41.18,Credit Card,Gift,Completed
199,679,1,1,8,2022-07-04,3432.28,Check,Gift,Completed
200,1387,1,1,8,2022-07-03,10.16,Credit Card,Gift,Completed
201,4784,1,1,8,2022-07-05,42.84,Credit Card,Gift,Completed
202,4790,1,1,8,2022-07-05,125.84,ACH,Gift,Completed
203,3837,1,1,8,2022-07-07,390.68,ACH,Gift,Completed
204,3005,1,1,8,2022-07-08,140.2,Cash,Gift,Completed
205,281,1,1,1,2022-07-07,1749.88,Check,Gift,Completed
206,2213,1,1,1,2022-06-25,38089.38,Check,Gift,Completed
207,1641,1,1,8,2022-07-10,1024.62,Check,Gift,Completed
208,4067,1,1,8,2022-07-04,41.32,Check,Gift,Completed
209,3009,1,1,1,2022-07-04,155.4,ACH,Gift,Completed
210,2113,1,1,8,2022-07-08,163.66,Credit Card,Gift,Completed
211,231,1,1,1,2022-07-05,1549.84,Check,Gift,Completed
212,4763,1,1,8,2022-07-01,103.2,Check,Gift,Completed
213,2363,1,1,8,2022-07-11,25000.76,Check,Gift,Completed
214,2667,1,1,8,2022-07-08,30488.82,Other,Gift,Completed
215,2800,1,1,8,2022-07-04,986.54,Credit Card,Gift,Completed
216,2936,1,1,8,2022-07-10,72.48,Check,Gift,Completed
217,2648,1,1,8,2022-07-08,3357.04,Check,Gift,Completed
218,681,1,1,8,2022-06-28,18300.28,ACH,Gift,Completed
219,3155,1,1,1,2022-07-09,59.68,Credit Card,Gift,Completed
220,4770,1,1,1,2022-06-29,67.44,Check,Gift,Completed
221,1190,1,1,1,2022-07-05,1387.4,Credit Card,Gift,Completed
222,4905,1,1,8,2022-07-07,729.2,Check,Gift,Completed
223,519,1,1,8,2022-06-27,1994.14,Check,Gift,Completed
224,4994,1,1,8,2022-07-05,161.6,Check,Gift,Completed
225,4982,1,1,1,2022-07-01,7077.86,ACH,Gift,Completed
226,2126,1,1,8,2022-07-01,97.26,Cash,Gift,Completed
227,2755,1,1,8,2022-07-06,58.94,Credit Card,Gift,Completed
228,1411,1,1,8,2022-07-03,108.84,ACH,Gift,Completed
229,3565,1,1,8,2022-07-07,14.14,ACH,Gift,Completed
230,2493,1,1,1,2022-07-07,613.04,Credit Card,Gift,Completed
231,1907,1,1,8,2022-07-04,171.32,ACH,Gift,Completed
232,4537,1,1,8,2022-07-08,177.38,Cash,Gift,Completed
233,3535,1,1,1,2022-07-07,144.38,Credit Card,Gift,Completed
234,2712,1,1,8,2022-07-05,98.48,Credit Card,Gift,Completed
235,2712,1,1,8,2022-07-09,48.257999999999996,Cash,Gift,Completed
236,890,1,1,8,2022-07-07,1679.96,Check,Gift,Completed
237,2750,1,1,8,2022-07-10,232.76,ACH,Gift,Completed
238,1744,1,1,1,2022-07-07,46.48,Credit Card,Gift,Completed
239,952,1,1,8,2022-07-11,288.56,Credit Card,Gift,Completed
240,2043,1,1,8,2022-07-10,196.92,Check,Gift,Completed
241,3682,1,1,1,2022-07-06,135.86,Credit Card,Gift,Completed
242,140,1,1,1,2022-07-05,3660.48,Check,Gift,Completed
243,353,1,1,8,2022-06-29,142301.18,Check,Gift,Completed
244,967,1,1,8,2022-07-07,160.08,Check,Gift,Completed
245,2834,1,1,8,2022-07-04,125.42,Credit Card,Gift,Completed
246,4254,1,1,8,2022-06-27,119.86,Credit Card,Gift,Completed
247,2463,1,1,1,2022-07-07,136.14,Credit Card,Gift,Completed
248,1905,1,1,8,2022-07-06,174.56,Credit Card,Gift,Completed
249,379,1,1,8,2022-07-02,19888.9,ACH,Gift,Completed
250,838,1,1,8,2022-07-07,63.72,Credit Card,Gift,Completed
251,3858,1,1,1,2022-06-27,167.2,Credit Card,Gift,Completed
252,1079,1,1,1,2022-07-06,186.86,Credit Card,Gift,Completed
253,196,1,1,1,2022-07-10,1585.1,Check,Gift,Completed
254,1607,1,1,8,2022-07-05,42.98,Credit Card,Gift,Completed
255,4945,1,1,8,2022-07-03,18.02,Credit Card,Gift,Completed
256,1772,1,1,1,2022-07-08,120.14,Credit Card,Gift,Completed
257,1772,1,1,8,2022-07-01,60.242,Credit Card,Gift,Completed
258,3251,1,1,8,2022-07-05,142.68,Other,Gift,Completed
259,4298,1,1,8,2022-07-07,277.76,Check,Gift,Completed
260,4328,1,1,8,2022-07-08,128.24,Credit Card,Gift,Completed
261,4712,1,1,8,2022-06-30,95.44,Check,Gift,Completed
262,2975,1,1,8,2022-07-06,127.54,Check,Gift,Completed
263,2446,1,1,8,2022-07-06,35.68,Cash,Gift,Completed
264,1715,1,1,8,2022-07-04,58.02,Credit Card,Gift,Completed
265,3501,1,1,8,2022-07-04,546.02,Credit Card,Gift,Completed
266,108,1,1,8,2022-07-06,3359.2,Check,Gift,Completed
267,4420,1,1,8,2022-07-08,154.9,Check,Gift,Completed
268,2647,1,1,1,2022-07-08,48.56,Check,Gift,Completed
269,4735,1,1,8,2022-07-05,77.3,Credit Card,Gift,Completed
270,988,1,1,8,2022-07-01,146.96,Credit Card,Gift,Completed
271,522,1,1,8,2022-06-30,5166.42,Check,Gift,Completed
272,2260,1,1,8,2022-07-02,115.96,Credit Card,Gift,Completed
273,3886,1,1,1,2022-07-08,355.66,Credit Card,Gift,Completed
274,3488,1,1,8,2022-07-06,3615.6,Credit Card,Gift,Completed
275,2616,1,1,8,2022-06-26,62.0,Check,Gift,Completed
276,1715,1,1,8,2022-07-03,141.22,Credit Card,Gift,Completed
277,1715,1,1,8,2022-07-04,49.084,Credit Card,Gift,Completed
278,1715,1,1,8,2022-07-09,138.922,Credit Card,Gift,Completed
279,4812,1,1,8,2022-07-08,18.82,Credit Card,Gift,Completed
280,4939,1,1,8,2022-07-07,428.26,Cash,Gift,Completed
281,2598,1,1,8,2022-07-02,435.52,Credit Card,Gift,Completed
282,1242,1,1,1,2022-07-07,81.08,Credit Card,Gift,Completed
283,1024,1,1,8,2022-07-10,280.22,ACH,Gift,Completed
284,3884,1,1,1,2022-07-08,149.7,Check,Gift,Completed
285,868,1,1,8,2022-07-09,718.4,Credit Card,Gift,Completed
286,2796,1,1,8,2022-07-11,80.8,Credit Card,Gift,Completed
287,1371,1,1,8,2022-07-11,195.5,Credit Card,Gift,Completed
288,3641,1,1,1,2022-06-26,193.04,Credit Card,Gift,Completed
289,4071,1,1,8,2022-07-09,131.1,Credit Card,Gift,Completed
290,970,1,1,8,2022-07-06,2064.3,Credit Card,Gift,Completed
291,2323,1,1,8,2022-07-05,609.78,Credit Card,Gift,Completed
292,352,1,1,8,2022-07-05,10382.64,Check,Gift,Completed
293,2392,1,1,1,2022-07-09,64.5,Credit Card,Gift,Completed
294,3645,1,1,1,2022-07-07,117.92,Check,Gift,Completed
295,346,1,1,1,2022-07-02,315.8,Check,Gift,Completed
296,990,1,1,1,2022-07-07,121.44,ACH,Gift,Completed
297,4238,1,1,8,2022-07-01,111.66,Check,Gift,Completed
298,3861,1,1,8,2022-06-30,283.72,Check,Gift,Completed
299,2667,1,1,1,2022-06-29,18507.92,Credit Card,Gift,Completed
300,3637,1,1,1,2022-07-01,105.98,Credit Card,Gift,Completed
301,4004,1,1,8,2022-07-06,15.72,Credit Card,Gift,Completed
302,2739,1,1,8,2022-07-04,604.02,Credit Card,Gift,Completed
303,1742,1,1,8,2022-07-10,159.92,Credit Card,Gift,Completed
304,317,1,1,8,2022-07-05,163051.64,ACH,Gift,Completed
305,3842,1,1,1,2022-07-05,695.48,Check,Gift,Completed
306,2647,1,1,8,2022-07-08,110.08,Check,Gift,Completed
307,2796,1,1,1,2022-07-04,83.04,Check,Gift,Completed
308,1794,1,1,8,2022-07-09,176.42,Credit Card,Gift,Completed
309,56,1,1,1,2022-07-03,18410.86,Check,Gift,Completed
310,3885,1,1,8,2022-07-07,145.22,Credit Card,Gift,Completed
311,3377,1,1,8,2022-07-05,184.62,Credit Card,Gift,Completed
312,3549,1,1,1,2022-07-06,149.56,Cash,Gift,Completed
313,1506,1,1,8,2022-07-06,20338.8,Credit Card,Gift,Completed
314,547,1,1,1,2022-06-30,14835.5,Check,Gift,Completed
315,2424,1,1,8,2022-07-06,819.5,Check,Gift,Completed
316,2367,1,1,8,2022-07-05,33.06,Credit Card,Gift,Completed
317,657,1,1,8,2022-07-10,1248.48,Credit Card,Gift,Completed
318,3888,1,1,8,2022-06-30,92.5,ACH,Gift,Completed
319,4854,1,1,1,2022-07-08,271.02,Credit Card,Gift,Completed
320,3654,1,1,8,2022-07-06,193.28,Credit Card,Gift,Completed
321,1934,1,1,8,2022-07-07,135.38,Credit Card,Gift,Completed
322,1957,1,1,8,2022-07-06,562.6,Credit Card,Gift,Completed
323,3381,1,1,8,2022-07-05,107.68,Check,Gift,Completed
324,890,1,1,8,2022-07-04,2593.66,Check,Gift,Completed
325,560,1,1,8,2022-07-02,4379.52,Credit Card,Gift,Completed
326,2388,1,1,1,2022-06-27,121.38,Credit Card,Gift,Completed
327,750,1,1,8,2022-06-27,3242.98,Check,Gift,Completed
328,2392,1,1,8,2022-07-07,147.72,Credit Card,Gift,Completed
329,3758,1,1,8,2022-07-03,578.08,ACH,Gift,Completed
330,4770,1,1,8,2022-07-02,22.66,ACH,Gift,Completed
331,705,1,1,8,2022-07-06,375.76,ACH,Gift,Completed
332,4849,1,1,8,2022-06-29,514.82,Credit Card,Gift,Completed
333,3855,1,1,8,2022-07-08,446.0,Credit Card,Gift,Completed
334,3398,1,1,1,2022-07-06,522.36,Credit Card,Gift,Completed
335,3398,1,1,8,2022-07-04,631.834,ACH,Gift,Completed
336,2215,1,1,8,2022-07-08,1103.0,Credit Card,Gift,Completed
337,252,1,1,8,2022-07-03,758.98,Check,Gift,Completed
338,2249,1,1,8,2022-07-04,331.42,Credit Card,Gift,Completed
339,1672,1,1,8,2022-07-04,56.18,Credit Card,Gift,Completed
340,3865,1,1,1,2022-06-26,51.04,Credit Card,Gift,Completed
341,3769,1,1,8,2022-07-05,196.08,Credit Card,Gift,Completed
342,2257,1,1,8,2022-07-10,66.38,Credit Card,Gift,Completed
343,151,1,1,8,2022-07-08,17572.76,Check,Gift,Completed
344,2042,1,1,1,2022-07-09,137.94,Credit Card,Gift,Completed
345,1941,1,1,8,2022-07-07,116.22,Credit Card,Gift,Completed
346,3895,1,1,8,2022-07-06,35.32,Check,Gift,Completed
347,3888,1,1,8,2022-06-27,21.36,Credit Card,Gift,Completed
348,705,1,1,8,2022-07-02,815.92,Credit Card,Gift,Completed
349,3381,1,1,8,2022-06-30,44.0,Credit Card,Gift,Completed
350,3007,1,1,8,2022-06-26,95.74,Credit Card,Gift,Completed
351,4938,1,1,8,2022-06-29,126.54,ACH,Gift,Completed
352,1985,1,1,8,2022-07-08,168.6,Credit Card,Gift,Completed
353,2982,1,1,8,2022-07-06,24.24,Check,Gift,Completed
354,2518,2,1,8,2022-10-08,254.24,Check,Gift,Completed
355,3490,2,1,8,2022-10-02,902.46,ACH,Gift,Completed
356,754,2,1,8,2022-10-06,73.5,Credit Card,Gift,Completed
357,1154,2,1,8,2022-10-01,42772.54,Credit Card,Gift,Completed
358,102,2,1,8,2022-09-29,3554.86,Check,Gift,Completed
359,1251,2,1,8,2022-09-27,2157.3,Credit Card,Gift,Completed
360,1015,2,1,8,2022-10-06,111.92,Check,Gift,Completed
361,4525,2,1,8,2022-10-07,46.32,Credit Card,Gift,Completed
362,2627,2,1,8,2022-09-30,317.38,Check,Gift,Completed
363,81,2,1,1,2022-09-27,1165.38,ACH,Gift,Completed
364,2319,2,1,8,2022-10-08,62.66,Check,Gift,Completed
365,2875,2,1,1,2022-10-02,88.24,Credit Card,Gift,Completed
366,1118,2,1,8,2022-10-06,165.14,Credit Card,Gift,Completed
367,3637,2,1,8,2022-10-03,62.32,Credit Card,Gift,Completed
368,1378,2,1,8,2022-10-01,108.78,Check,Gift,Completed
369,152,2,1,8,2022-10-06,2625.28,Check,Gift,Completed
370,2421,2,1,1,2022-10-09,137.24,ACH,Gift,Completed
371,3373,2,1,8,2022-10-02,78.72,ACH,Gift,Completed
372,60,2,1,8,2022-10-08,10814.52,Other,Gift,Completed
373,4636,2,1,8,2022-09-30,32.46,Credit Card,Gift,Completed
374,838,2,1,8,2022-10-07,59.46,Credit Card,Gift,Completed
375,864,2,1,8,2022-10-01,190.56,Credit Card,Gift,Completed
376,2598,2,1,8,2022-10-07,478.1,Credit Card,Gift,Completed
377,2136,2,1,8,2022-10-05,77.84,ACH,Gift,Completed
378,3235,2,1,8,2022-10-01,116.22,Credit Card,Gift,Completed
379,3332,2,1,8,2022-10-08,104.6,Credit Card,Gift,Completed
380,1857,2,1,8,2022-10-02,41.9,Credit Card,Gift,Completed
381,2616,2,1,8,2022-10-07,47.44,Credit Card,Gift,Completed
382,1739,2,1,8,2022-10-01,349.34,Check,Gift,Completed
383,4451,2,1,1,2022-10-07,181.86,Credit Card,Gift,Completed
384,3842,2,1,8,2022-10-04,1156.86,ACH,Gift,Completed
385,457,2,1,8,2022-09-29,18424.5,ACH,Gift,Completed
386,253,2,1,8,2022-10-05,7271.52,Check,Gift,Completed
387,2329,2,1,8,2022-09-30,746.32,Credit Card,Gift,Completed
388,519,2,1,8,2022-10-04,2358.28,ACH,Gift,Completed
389,2640,2,1,8,2022-10-02,533.34,Credit Card,Gift,Completed
390,120,2,1,1,2022-10-07,5320.16,Check,Gift,Completed
391,2367,2,1,8,2022-10-01,103.24,Credit Card,Gift,Completed
392,673,2,1,8,2022-10-05,10477.78,ACH,Gift,Completed
393,2773,2,1,8,2022-09-29,31.26,Credit Card,Gift,Completed
394,3416,2,1,8,2022-10-02,10.58,Credit Card,Gift,Completed
395,2936,2,1,8,2022-10-08,191.8,ACH,Gift,Completed
396,1597,2,1,8,2022-10-07,65.78,Credit Card,Gift,Completed
397,4451,2,1,8,2022-10-09,50.44,Credit Card,Gift,Completed
398,3913,2,1,1,2022-10-06,75.74,Credit Card,Gift,Completed
399,2493,2,1,8,2022-10-03,479.78,Credit Card,Gift,Completed
